סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
239       ,גן חיים                  ,42        ,פתח תקווה                ,47        ,כפר סבא                  ,20        ,דרום השרון               ,744       ,54        ,158       ,238       ,108       ,86        ,100
240       ,יקנעם עילית              ,23        ,עפולה                    ,23        ,עפולה                    ,0         ,                         ,25319     ,2119      ,5387      ,9236      ,3514      ,2088      ,2975
241       ,יקנעם )מושבה(            ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1440      ,146       ,281       ,474       ,167       ,106       ,266
242       ,בית השיטה                ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1527      ,112       ,321       ,487       ,194       ,102       ,311
246       ,נתיבות                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,38487     ,5539      ,10381     ,14455     ,3113      ,2287      ,2712
247       ,רשפון                    ,41        ,השרון                    ,41        ,נתניה                    ,19        ,חוף השרון                ,1310      ,111       ,312       ,437       ,187       ,107       ,156
248       ,בית שערים                ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,705       ,70        ,170       ,225       ,83        ,40        ,117
249       ,כפר סירקין               ,42        ,פתח תקווה                ,42        ,פתח תקוה                 ,20        ,דרום השרון               ,1471      ,120       ,387       ,451       ,223       ,89        ,201
250       ,הזורע                    ,23        ,עפולה                    ,23        ,עפולה                    ,13        ,מגידו                    ,1234      ,80        ,161       ,417       ,131       ,115       ,330
252       ,ביתן אהרן                ,41        ,השרון                    ,41        ,נתניה                    ,16        ,עמק חפר                  ,239       ,15        ,37        ,55        ,16        ,10        ,106
253       ,חולתה                    ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,645       ,74        ,140       ,228       ,58        ,43        ,102
